granularity,frequency,target_column,scaler,fit_split,scaled_series,difference_order,transform_name,training_smoothing_window,train_rows,test_rows,train_non_null_rows,train_mean,train_std,train_min,train_max,train_scale,train_start,train_end,test_start,test_end
raw,5s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,0,level,none,69120,17280,69120,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:28:54,2022-03-31 14:28:49,2022-03-31 14:28:54,2022-04-01 14:28:49
raw,5s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,0,level,30s,69120,17280,69115,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:28:54,2022-03-31 14:28:49,2022-03-31 14:28:54,2022-04-01 14:28:49
raw,5s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,1,first_difference,none,69120,17280,69119,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:28:54,2022-03-31 14:28:49,2022-03-31 14:28:54,2022-04-01 14:28:49
raw,5s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,1,first_difference,30s,69120,17280,69114,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:28:54,2022-03-31 14:28:49,2022-03-31 14:28:54,2022-04-01 14:28:49
raw,5s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,2,second_difference,none,69120,17280,69118,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:28:54,2022-03-31 14:28:49,2022-03-31 14:28:54,2022-04-01 14:28:49
raw,5s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,2,second_difference,30s,69120,17280,69113,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:28:54,2022-03-31 14:28:49,2022-03-31 14:28:54,2022-04-01 14:28:49
30s,30s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,0,level,none,11520,2880,11520,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:24,2022-03-31 14:28:54,2022-03-31 14:29:24,2022-04-01 14:28:54
30s,30s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,0,level,1min,11520,2880,11519,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:24,2022-03-31 14:28:54,2022-03-31 14:29:24,2022-04-01 14:28:54
30s,30s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,1,first_difference,none,11520,2880,11519,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:24,2022-03-31 14:28:54,2022-03-31 14:29:24,2022-04-01 14:28:54
30s,30s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,1,first_difference,1min,11520,2880,11518,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:24,2022-03-31 14:28:54,2022-03-31 14:29:24,2022-04-01 14:28:54
30s,30s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,2,second_difference,none,11520,2880,11518,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:24,2022-03-31 14:28:54,2022-03-31 14:29:24,2022-04-01 14:28:54
30s,30s,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,2,second_difference,1min,11520,2880,11517,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:24,2022-03-31 14:28:54,2022-03-31 14:29:24,2022-04-01 14:28:54
1min,1min,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,0,level,none,5760,1440,5760,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:54,2022-03-31 14:28:54,2022-03-31 14:29:54,2022-04-01 14:28:54
1min,1min,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,0,level,2min,5760,1440,5759,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:54,2022-03-31 14:28:54,2022-03-31 14:29:54,2022-04-01 14:28:54
1min,1min,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,1,first_difference,none,5760,1440,5759,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:54,2022-03-31 14:28:54,2022-03-31 14:29:54,2022-04-01 14:28:54
1min,1min,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,1,first_difference,2min,5760,1440,5758,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:54,2022-03-31 14:28:54,2022-03-31 14:29:54,2022-04-01 14:28:54
1min,1min,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,2,second_difference,none,5760,1440,5758,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:54,2022-03-31 14:28:54,2022-03-31 14:29:54,2022-04-01 14:28:54
1min,1min,TE_8313B.AV_0#,standard,train,raw_target_before_aggregation,2,second_difference,2min,5760,1440,5757,773.0755899884259,10.737162811032407,,,10.737162811032407,2022-03-27 14:29:54,2022-03-31 14:28:54,2022-03-31 14:29:54,2022-04-01 14:28:54
