id_key,granularity,model,p,d,q,train_rows,test_rows,warning_count,warnings,mae,rmse,mape,smape,bias
subset_B_1min,1min,ARIMA_p1_d0_q1,1,0,1,5760,1440,0,,8.297827675547284,10.459528286504824,1.060497927577347,1.066581229057544,-4.560428369158525
subset_B_1min,1min,ARIMA_p1_d1_q1,1,1,1,5760,1440,0,,10.352130182146649,12.6112233635356,1.3392961868010014,1.3277567606726404,8.399151489159463
subset_B_1min,1min,ARIMA_p1_d2_q1,1,2,1,5760,1440,0,,75.10456374844607,84.57916729606599,9.661636512983797,9.108000536614465,74.76600379175771
subset_B_30s,30s,ARIMA_p1_d0_q1,1,0,1,11520,2880,0,,8.279945468586876,10.432600299673059,1.0582803730109918,1.064264324496623,-4.48758224775455
subset_B_30s,30s,ARIMA_p1_d1_q1,1,1,1,11520,2880,0,,10.874883217903125,13.152848586391826,1.4071018415858425,1.3942040876792259,9.172134244182068
subset_B_30s,30s,ARIMA_p1_d2_q1,1,2,1,11520,2880,0,,33.98404079344861,37.216260043765956,4.378045952811365,4.266890434259656,33.22473375629001
subset_B_5min,5min,ARIMA_p1_d0_q1,1,0,1,1152,288,0,,8.194155471854637,10.279690507227405,1.0472701146029648,1.0532170619709145,-4.519780679127671
subset_B_5min,5min,ARIMA_p1_d1_q1,1,1,1,1152,288,0,,14.644281666291981,16.791289371946856,1.893976256784513,1.871111033157051,14.054982658981807
subset_B_5min,5min,ARIMA_p1_d2_q1,1,2,1,1152,288,0,,124.30327459629274,139.41507933958377,15.98289482653369,14.538451340410694,124.27279746601906
subset_B_raw,raw,ARIMA_p1_d0_q1,1,0,1,69120,17280,0,,7.909589838954964,9.756516676088218,1.0125439545587394,1.0165944668266595,-3.2540244447266873
subset_B_raw,raw,ARIMA_p1_d1_q1,1,1,1,69120,17280,0,,10.675943977141994,12.935446402490422,1.3812391521158294,1.3689360634592223,8.850286457392933
subset_B_raw,raw,ARIMA_p1_d2_q1,1,2,1,69120,17280,0,,648.2894104350908,751.2718049531346,83.26344875532352,125.94356114203,-648.1970686835821
