granularity,p,d,q,arima_model,arima_mae,arima_rmse,arima_mape,arima_smape,arima_bias,arimax_model,exogenous_count,arimax_mae,arimax_rmse,arimax_mape,arimax_smape,arimax_bias,mae_delta,mae_change_percent,rmse_delta,rmse_change_percent
1min,1,0,1,ARIMA_p1_d0_q1,8.297827675547284,10.459528286504824,1.060497927577347,1.066581229057544,-4.560428369158525,ARIMAX_p1_d0_q1,13,5.999703826178221,7.450593390362204,0.7737327994991211,0.7710246377235334,2.690813527922756,-2.2981238493690626,-27.695487773762302,-3.0089348961426197,-28.76740531429923
1min,1,1,1,ARIMA_p1_d1_q1,10.352130182146649,12.6112233635356,1.3392961868010014,1.3277567606726404,8.399151489159463,ARIMAX_p1_d1_q1,13,7.660948176357503,9.705288021474512,0.9864758857390228,0.9827735280804909,2.7907565645601107,-2.6911820057891456,-25.9964080671085,-2.9059353420610883,-23.042453997471654
1min,1,2,1,ARIMA_p1_d2_q1,75.10456374844607,84.57916729606599,9.661636512983797,9.108000536614465,74.76600379175771,ARIMAX_p1_d2_q1,13,10.146755427799224,12.290926326979367,1.3079446295059771,1.298122162578724,7.242917489565239,-64.95780832064685,-86.48982841870357,-72.28824096908662,-85.4681398269677
30s,1,0,1,ARIMA_p1_d0_q1,8.279945468586876,10.432600299673059,1.0582803730109918,1.064264324496623,-4.48758224775455,ARIMAX_p1_d0_q1,13,6.719726508653024,8.251397600220173,0.8665178662145223,0.8633494951462941,2.8505498505520688,-1.5602189599338514,-18.843348254564425,-2.1812026994528857,-20.9075651016865
30s,1,1,1,ARIMA_p1_d1_q1,10.874883217903125,13.152848586391826,1.4071018415858425,1.3942040876792259,9.172134244182068,ARIMAX_p1_d1_q1,13,7.970000324657902,9.758685710254722,1.0272490536586056,1.0228561621871954,3.438046121008073,-2.9048828932452233,-26.71185368191326,-3.394162876137104,-25.80553447295642
30s,1,2,1,ARIMA_p1_d2_q1,33.98404079344861,37.216260043765956,4.378045952811365,4.266890434259656,33.22473375629001,ARIMAX_p1_d2_q1,13,19.820341812713277,22.067882896834213,2.5540671564162536,2.5153173844122887,18.424268871110332,-14.16369898073533,-41.67750111536409,-15.148377146931743,-40.703652460288595
5min,1,0,1,ARIMA_p1_d0_q1,8.194155471854637,10.279690507227405,1.0472701146029648,1.0532170619709145,-4.519780679127671,ARIMAX_p1_d0_q1,13,3.7238068465873755,4.739338897088672,0.4800865508797234,0.47849017732053145,2.7915468654323314,-4.4703486252672615,-54.55533081623918,-5.540351610138734,-53.896093527752065
5min,1,1,1,ARIMA_p1_d1_q1,14.644281666291981,16.791289371946856,1.893976256784513,1.871111033157051,14.054982658981807,ARIMAX_p1_d1_q1,13,4.512450919360812,5.418212154502411,0.5788667444575781,0.5807535395828177,-3.09649703368466,-10.131830746931168,-69.186259714278,-11.373077217444445,-67.73200655123843
5min,1,2,1,ARIMA_p1_d2_q1,124.30327459629274,139.41507933958377,15.98289482653369,14.538451340410694,124.27279746601906,ARIMAX_p1_d2_q1,13,9.82582743567626,11.29631512177358,1.259921710476547,1.2698811455092223,-8.867854992642425,-114.47744716061648,-92.0952786902934,-128.1187642178102,-91.8973505769356
