granularity,candidate_label,difference_order,transform_name,training_smoothing_window,hidden_units,learning_rate_init,max_iter,validation_mae,validation_rmse,test_mae,test_rmse,warning_count,warnings
1min,1min_d0_smooth_1min,0,level,1min,10,0.01,5000,6.417198050849789,8.1880701508973,5.97162237707853,7.741178867035302,0,
1min,1min_d0_smooth_none,0,level,none,10,0.01,5000,6.417198050849789,8.1880701508973,5.97162237707853,7.741178867035302,0,
1min,1min_d1_smooth_1min,1,first_difference,1min,10,0.01,5000,2.031799419498208,2.5760671780332443,2.136909542651629,2.6930024969565394,0,
1min,1min_d1_smooth_none,1,first_difference,none,10,0.01,5000,2.031799419498208,2.5760671780332443,2.136909542651629,2.6930024969565394,0,
1min,1min_d2_smooth_1min,2,second_difference,1min,10,0.01,5000,2.3375014419557196,2.908124689907337,2.4700471822062253,3.1094403001352395,0,
1min,1min_d2_smooth_none,2,second_difference,none,10,0.01,5000,2.3375014419557196,2.908124689907337,2.4700471822062253,3.1094403001352395,0,
30s,30s_d0_smooth_1min,0,level,1min,20,0.01,5000,5.8590823508071095,7.515384774842706,5.50484875655879,7.138231398279821,0,
30s,30s_d0_smooth_30s,0,level,30s,20,0.01,5000,5.8684386555693,7.527463082282395,5.508154898182881,7.142733488248832,0,
30s,30s_d0_smooth_none,0,level,none,20,0.01,5000,5.8684386555693,7.527463082282395,5.508154898182881,7.142733488248832,0,
30s,30s_d1_smooth_1min,1,first_difference,1min,20,0.01,5000,1.2361343701029577,1.5591264640105218,1.2389312723313701,1.5647978947834116,0,
30s,30s_d1_smooth_30s,1,first_difference,30s,20,0.01,5000,1.2283928073528299,1.5496610661351558,1.2308213144615572,1.5538613797596919,0,
30s,30s_d1_smooth_none,1,first_difference,none,20,0.01,5000,1.2283928073528299,1.5496610661351558,1.2308213144615572,1.5538613797596919,0,
30s,30s_d2_smooth_1min,2,second_difference,1min,20,0.01,5000,1.4872912320587588,1.8432895073529596,1.4631954608862037,1.8463957807033047,0,
30s,30s_d2_smooth_30s,2,second_difference,30s,20,0.01,5000,1.3084460312863881,1.6220439032016203,1.2955145244314643,1.630279956008555,0,
30s,30s_d2_smooth_none,2,second_difference,none,20,0.01,5000,1.3084460312863881,1.6220439032016203,1.2955145244314643,1.630279956008555,0,
