analysis,model_key,model_label,status,granularity_count,supported_splits,config_summary,report_path,target_horizon,run_id,run_label,run_tag,run_created_at,config_fingerprint
univariate,univariate_arima,Univariate ARIMA,evaluated,4,test,"enabled=True, method=CSS-ML, order=[1,0,1], season_length=1, seasonal_order=[0,0,0]",models/univariate_arima.md,10min,20260427T162059_baseline_dbeb3c36,20260427T162059 | baseline | dbeb3c36,baseline,20260427T162059,dbeb3c36
univariate,univariate_mlp_target_lags,Univariate MLP Target Lags,evaluated,4,"validation,test","activation=relu, enabled=True, hidden_layer_sizes=[64,32], max_iter=300, random_state=42, write_window_data=False",models/univariate_mlp_target_lags.md,10min,20260427T162059_baseline_dbeb3c36,20260427T162059 | baseline | dbeb3c36,baseline,20260427T162059,dbeb3c36
univariate,univariate_arima,Univariate ARIMA,evaluated,4,test,"enabled=True, method=CSS-ML, order=[1,0,1], season_length=1, seasonal_order=[0,0,0]",models/univariate_arima.md,10min,20260427T162533_baseline_dbeb3c36,20260427T162533 | baseline | dbeb3c36,baseline,20260427T162533,dbeb3c36
univariate,univariate_mlp_target_lags,Univariate MLP Target Lags,evaluated,4,"validation,test","activation=relu, enabled=True, hidden_layer_sizes=[64,32], max_iter=300, random_state=42, write_window_data=False",models/univariate_mlp_target_lags.md,10min,20260427T162533_baseline_dbeb3c36,20260427T162533 | baseline | dbeb3c36,baseline,20260427T162533,dbeb3c36
,univariate_arima,Univariate ARIMA,evaluated,2,,,models/univariate_arima.md,,20260427T171945_baseline_fd30e340,20260427T171945 | baseline | fd30e340,baseline,20260427T171945,fd30e340
,univariate_mlp_target_lags,Univariate MLP Target Lags,evaluated,2,,,models/univariate_mlp_target_lags.md,,20260427T171945_baseline_fd30e340,20260427T171945 | baseline | fd30e340,baseline,20260427T171945,fd30e340
,univariate_arima,Univariate ARIMA,evaluated,2,,,models/univariate_arima.md,,20260427T182337_baseline_fcf4215d,20260427T182337 | baseline | fcf4215d,baseline,20260427T182337,fcf4215d
,univariate_mlp_target_lags,Univariate MLP Target Lags,evaluated,2,,,models/univariate_mlp_target_lags.md,,20260427T182337_baseline_fcf4215d,20260427T182337 | baseline | fcf4215d,baseline,20260427T182337,fcf4215d
,univariate_arima,Univariate ARIMA,evaluated,2,,,models/univariate_arima.md,,20260427T184502_baseline_fcf4215d,20260427T184502 | baseline | fcf4215d,baseline,20260427T184502,fcf4215d
,univariate_mlp_target_lags,Univariate MLP Target Lags,evaluated,2,,,models/univariate_mlp_target_lags.md,,20260427T184502_baseline_fcf4215d,20260427T184502 | baseline | fcf4215d,baseline,20260427T184502,fcf4215d
